Year,Region,Commodity,TradeDirection,TradeValue
2020,North America,Pharmaceuticals,Imports,11
2020,Asia-Pacific,Electronics,Imports,30
2020,Europe,Vehicles,Imports,15
2020,Asia-Pacific,Machinery,Imports,14
2021,Asia-Pacific,Iron Ore,Exports,110
2021,Asia-Pacific,Coal,Exports,57
2021,Asia-Pacific,LNG,Exports,55
2021,Asia-Pacific,Wheat,Exports,14
2021,Europe,Gold,Exports,19
2021,Europe,Wine,Exports,6
2021,North America,Beef,Exports,10
2021,North America,Wool,Exports,5
2021,Middle East,LNG,Exports,13
2021,North America,Pharmaceuticals,Imports,12
2021,Asia-Pacific,Electronics,Imports,32
2021,Europe,Vehicles,Imports,17
2021,Asia-Pacific,Machinery,Imports,15
2022,Asia-Pacific,Iron Ore,Exports,115
2022,Asia-Pacific,Coal,Exports,58
2022,Asia-Pacific,LNG,Exports,58
2022,Asia-Pacific,Wheat,Exports,15
2022,Europe,Gold,Exports,20
2022,Europe,Wine,Exports,7
2022,North America,Beef,Exports,10
2022,North America,Wool,Exports,5
2022,Middle East,LNG,Exports,14
2022,North America,Pharmaceuticals,Imports,12
2022,Asia-Pacific,Electronics,Imports,33
2022,Europe,Vehicles,Imports,18
2022,Asia-Pacific,Machinery,Imports,16
2023,Asia-Pacific,Iron Ore,Exports,118
2023,Asia-Pacific,Coal,Exports,59
2023,Asia-Pacific,LNG,Exports,60
2023,Asia-Pacific,Wheat,Exports,16
2023,Europe,Gold,Exports,22
2023,Europe,Wine,Exports,7
2023,North America,Beef,Exports,11
2023,North America,Wool,Exports,5
2023,Middle East,LNG,Exports,15
2023,North America,Pharmaceuticals,Imports,13
2023,Asia-Pacific,Electronics,Imports,34
2023,Europe,Vehicles,Imports,19
2023,Asia-Pacific,Machinery,Imports,17
2024,Asia-Pacific,Iron Ore,Exports,120
2024,Asia-Pacific,Coal,Exports,61
2024,Asia-Pacific,LNG,Exports,65
2024,Asia-Pacific,Wheat,Exports,17
2024,Europe,Gold,Exports,23
2024,Europe,Wine,Exports,8
2024,North America,Beef,Exports,12
2024,North America,Wool,Exports,6
2024,Middle East,LNG,Exports,16
2024,North America,Pharmaceuticals,Imports,13
2024,Asia-Pacific,Electronics,Imports,35
2024,Europe,Vehicles,Imports,20
2024,Asia-Pacific,Machinery,Imports,18
